,open,high,low,close,volume,value
2023-03-02 09:00:00,5.13,5.27,4.96,5.04,2587106796.8523507,13208842330.62216
2023-03-03 09:00:00,5.04,5.04,4.55,4.69,1471311158.1759598,6926443177.541753
2023-03-04 09:00:00,4.68,4.79,4.63,4.68,630022717.5452492,2972568504.9940963
2023-03-05 09:00:00,4.68,4.78,4.56,4.72,845260216.5196333,3955229767.777009
2023-03-06 09:00:00,4.7,4.7,4.41,4.55,766610915.1736578,3469329959.1969223
2023-03-07 09:00:00,4.55,4.58,4.31,4.43,711277815.8163611,3175834866.0884914
2023-03-08 09:00:00,4.43,4.44,4.08,4.1,765774148.8253465,3248256440.1934786
2023-03-09 09:00:00,4.11,4.18,3.74,3.83,870623701.229579,3453865256.655569
2023-03-10 09:00:00,3.82,4.01,3.6,3.87,1801879105.375976,6901415107.610965
2023-03-11 09:00:00,3.87,4.07,3.72,3.91,1249820983.283797,4904658122.306105
2023-03-12 09:00:00,3.9,4.08,3.74,4.06,849678370.3714123,3337558191.66492
2023-03-13 09:00:00,4.06,4.44,3.93,4.35,2975772112.488713,12529053474.9148
2023-03-14 09:00:00,4.36,4.54,4.17,4.46,1755364285.394659,7700965149.29789
2023-03-15 09:00:00,4.45,4.65,4.19,4.27,2052489625.058176,9258460563.594765
2023-03-16 09:00:00,4.26,4.37,4.2,4.36,425357567.4090797,1822961378.821469
2023-03-17 09:00:00,4.35,4.57,4.31,4.55,760627930.2405707,3378730600.9044614
2023-03-18 09:00:00,4.55,4.59,4.46,4.51,591980146.9238507,2684136001.4390783
2023-03-19 09:00:00,4.51,4.62,4.42,4.57,572067693.0176158,2584149153.766648
2023-03-20 09:00:00,4.57,4.72,4.5,4.51,1337294800.9530792,6165514240.586477
2023-03-21 09:00:00,4.52,4.54,4.24,4.41,787849125.4543478,3447083266.646775
2023-03-22 09:00:00,4.42,4.45,4.25,4.28,376552480.9177103,1637897857.4769864
2023-03-23 09:00:00,4.29,4.38,4.2,4.35,470946842.8160526,2012594412.717433
2023-03-24 09:00:00,4.35,4.5,4.28,4.29,582318893.5400296,2549480553.296386
2023-03-25 09:00:00,4.29,4.34,4.27,4.3,210175552.63571075,902932931.9399215
2023-03-26 09:00:00,4.3,4.35,4.26,4.31,238658882.5100381,1026427413.4438714
2023-03-27 09:00:00,4.3,4.32,3.99,4.08,483303077.13871336,2004092305.719117
2023-03-28 09:00:00,4.08,4.26,3.93,4.08,415855798.7628204,1683602496.9712744
2023-03-29 09:00:00,4.1,4.26,4.03,4.22,384032927.5712706,1606389063.6996825
2023-03-30 09:00:00,4.23,4.31,4.14,4.18,459432093.25750554,1937393840.8480287
2023-03-31 09:00:00,4.19,4.27,4.11,4.27,429156046.49019986,1795744970.6567767
2023-04-01 09:00:00,4.25,4.42,4.23,4.34,904028498.2978121,3926907754.3388796
2023-04-02 09:00:00,4.34,4.39,4.21,4.25,453241602.5453262,1952141747.9942875
2023-04-03 09:00:00,4.25,4.27,4.15,4.19,350985887.90188605,1476890449.0859272
2023-04-04 09:00:00,4.19,4.28,4.18,4.24,317645307.9732571,1346319173.2419448
2023-04-05 09:00:00,4.24,4.77,4.24,4.63,2011623506.026546,9091067593.521427
2023-04-06 09:00:00,4.64,5.09,4.38,4.51,3339780999.306911,15639115263.257627
2023-04-07 09:00:00,4.51,4.71,4.35,4.4,884869115.1744791,3983044695.3320174
2023-04-08 09:00:00,4.4,4.59,4.38,4.59,943924427.5878458,4244642592.0526104
2023-04-09 09:00:00,4.59,4.74,4.31,4.47,2306383044.510701,10387795054.90581
2023-04-10 09:00:00,4.46,4.5,4.32,4.46,548922245.2191836,2418155709.7298455
2023-04-11 09:00:00,4.48,4.49,4.43,4.47,332960805.1202528,1484177124.934654
2023-04-12 09:00:00,4.47,4.54,4.35,4.4,667224638.8018214,2964402134.958233
2023-04-13 09:00:00,4.37,4.5,4.37,4.43,300721252.8455783,1330599827.326959
2023-04-14 09:00:00,4.42,4.53,4.39,4.47,503866991.20317703,2245535795.9504986
2023-04-15 09:00:00,4.47,4.49,4.43,4.46,207478706.88330895,924750524.4387681
2023-04-16 09:00:00,4.47,4.47,4.43,4.46,185090378.67451563,823815204.8579756
2023-04-17 09:00:00,4.46,4.7,4.4,4.46,1629986371.2229261,7329172264.55548
2023-04-18 09:00:00,4.46,4.51,4.42,4.48,522613765.1737063,2335186599.0257225
2023-04-19 09:00:00,4.47,4.48,4.22,4.23,636150957.9855713,2766992356.133473
2023-04-20 09:00:00,4.25,4.35,4.16,4.24,474631450.5191764,2015358646.2841992
2023-04-21 09:00:00,4.25,4.81,4.15,4.3,5560619269.280006,24702095223.11603
2023-04-22 09:00:00,4.3,4.46,4.15,4.28,1344584620.9864893,5778555088.6036
2023-04-23 09:00:00,4.27,4.28,4.2,4.2,257847717.21237537,1091175221.9555664
2023-04-24 09:00:00,4.2,4.22,4.01,4.14,581807161.4954333,2400338709.6552916
2023-04-25 09:00:00,4.12,4.44,4.02,4.42,7107886924.195183,30427044176.492535
2023-04-26 09:00:00,4.42,4.66,4.22,4.28,3947269319.9030495,17438900343.03683
2023-04-27 09:00:00,4.28,4.3,4.2,4.25,580180213.8087338,2455960555.3459992
2023-04-28 09:00:00,4.25,4.46,4.19,4.42,2635989687.285938,11475166622.676018
2023-04-29 09:00:00,4.42,4.57,4.36,4.45,2280797965.8334017,10179570373.808266
2023-04-30 09:00:00,4.46,4.46,4.28,4.33,490957012.44173956,2133551505.7999802
2023-05-01 09:00:00,4.33,4.33,4.15,4.16,479137832.19044185,2019700050.796883
2023-05-02 09:00:00,4.16,4.23,4.06,4.15,358370024.6398911,1481769682.0755417
2023-05-03 09:00:00,4.16,4.19,4.05,4.12,270604232.26222837,1111387382.1555414
2023-05-04 09:00:00,4.12,4.21,4.06,4.1,232854600.60422525,961074485.2104492
2023-05-05 09:00:00,4.1,4.21,4.1,4.15,208320368.9171172,865277416.9949101
2023-05-06 09:00:00,4.15,4.29,4.08,4.17,1006744679.7320248,4236334414.8684864
2023-05-07 09:00:00,4.17,4.24,4.11,4.11,367905976.35654235,1537836626.674644
2023-05-08 09:00:00,4.11,4.19,3.86,3.93,1046282374.0477271,4256290252.1810365
2023-05-09 09:00:00,3.94,4.07,3.88,3.95,1035109554.9566534,4121645453.2406764
2023-05-10 09:00:00,3.95,4.03,3.82,3.94,441250280.22166497,1735049599.6613648
2023-05-11 09:00:00,3.95,3.96,3.83,3.85,200639068.74245763,779509520.0115358
2023-05-12 09:00:00,3.84,3.86,3.63,3.82,356577996.7919129,1333163751.4479995
2023-05-13 09:00:00,3.82,3.92,3.78,3.85,282291266.2000665,1092257784.2388504
2023-05-14 09:00:00,3.85,3.88,3.82,3.84,101508326.86334929,390493279.1979156
2023-05-15 09:00:00,3.85,3.86,3.75,3.83,203685533.96704173,777210621.7879806
2023-05-16 09:00:00,3.83,3.85,3.78,3.81,122980599.93471964,469158960.5367894
2023-05-17 09:00:00,3.81,3.85,3.77,3.82,119127894.89587364,453444454.6504897
2023-05-18 09:00:00,3.82,3.85,3.8,3.81,126907926.32570708,485586605.11418843
2023-05-19 09:00:00,3.81,3.97,3.8,3.83,595144357.6647167,2310509864.3771143
2023-05-20 09:00:00,3.84,3.89,3.8,3.83,139146793.9428717,532077484.7148918
2023-05-21 09:00:00,3.84,3.84,3.75,3.75,107522070.12420481,409024099.09544057
2023-05-22 09:00:00,3.75,3.77,3.64,3.68,177608947.87414837,654805962.3619903
2023-05-23 09:00:00,3.68,3.75,3.65,3.7,121563914.03049138,449245992.68842924
2023-05-24 09:00:00,3.69,3.71,3.5,3.59,302895370.55044323,1086288576.3692338
2023-05-25 09:00:00,3.59,3.6,3.46,3.53,159562915.14292884,562910582.2988893
2023-05-26 09:00:00,3.53,3.58,3.49,3.56,125531405.40406843,441842510.32479876
2023-05-27 09:00:00,3.56,3.59,3.54,3.55,51266189.40371053,182107362.7856983
2023-05-28 09:00:00,3.55,3.65,3.53,3.64,106313929.3374053,381219275.246631
2023-05-29 09:00:00,3.64,3.65,3.58,3.58,113582403.45329744,409896108.90551656
2023-05-30 09:00:00,3.58,3.62,3.56,3.58,112261166.13136749,403413006.34676707
2023-05-31 09:00:00,3.58,3.78,3.51,3.54,690074024.6175796,2499433051.189188
2023-06-01 09:00:00,3.54,3.58,3.5,3.51,186645934.74916443,660275542.0395567
2023-06-02 09:00:00,3.53,3.59,3.48,3.59,92104085.23396473,325299931.84492373
2023-06-03 09:00:00,3.59,3.61,3.55,3.61,52055119.96161595,186142335.65589112
2023-06-04 09:00:00,3.6,3.64,3.57,3.6,69835465.05974352,251711387.45355266
2023-06-05 09:00:00,3.6,3.62,3.36,3.41,227849550.0849282,795413169.0455313
2023-06-06 09:00:00,3.43,3.46,3.24,3.43,210886412.34297788,711352727.8102102
2023-06-07 09:00:00,3.45,3.45,3.34,3.38,145851997.14310607,495710095.15671086
2023-06-08 09:00:00,3.37,3.38,3.27,3.33,141660127.4393159,471154908.20459735
2023-06-09 09:00:00,3.33,3.55,3.29,3.4,949233986.1517735,3284777045.910779
2023-06-10 09:00:00,3.39,3.4,3.02,3.14,581158214.0174481,1850955448.4272466
2023-06-11 09:00:00,3.15,3.2,3.07,3.12,200261923.76292974,627334107.7250277
2023-06-12 09:00:00,3.12,3.75,3.04,3.32,10411748521.89634,35739726480.50703
2023-06-13 09:00:00,3.32,3.35,3.13,3.15,2336899872.316853,7560847225.384221
2023-06-14 09:00:00,3.16,3.16,3.02,3.05,526959288.8024494,1638080959.3025901
2023-06-15 09:00:00,3.05,3.25,3.0,3.09,2277940678.149189,7068161551.343322
2023-06-16 09:00:00,3.09,3.15,3.05,3.13,484268974.02274036,1495762729.656475
2023-06-17 09:00:00,3.12,3.19,3.11,3.13,456719054.6343638,1436843820.6488104
2023-06-18 09:00:00,3.13,3.14,3.1,3.11,160690044.2414962,501317026.0232995
2023-06-19 09:00:00,3.11,3.14,3.09,3.13,206636446.0369106,641679852.8920078
2023-06-20 09:00:00,3.13,3.2,3.09,3.19,256174259.41785708,801566059.2156174
2023-06-21 09:00:00,3.19,3.34,3.16,3.33,433354487.99695235,1410472762.1821406
2023-06-22 09:00:00,3.31,3.43,3.28,3.32,582734297.2627208,1963616238.477886
2023-06-23 09:00:00,3.33,3.54,3.32,3.52,467097739.24904644,1600724898.1573431
2023-06-24 09:00:00,3.52,4.11,3.52,3.67,6396389140.420083,24472595447.51166
2023-06-25 09:00:00,3.67,3.75,3.62,3.72,718028887.7024423,2652188116.1411157
2023-06-26 09:00:00,3.72,4.7,3.56,3.6,21937671129.381443,89577441968.7826
2023-06-27 09:00:00,3.59,3.61,3.44,3.52,2340788470.9767013,8225564303.4909115
2023-06-28 09:00:00,3.51,3.62,3.32,3.33,1124954307.1055062,3880776065.876664
2023-06-29 09:00:00,3.33,3.43,3.33,3.39,422786281.3041381,1428903716.6084166
2023-06-30 09:00:00,3.39,3.51,3.28,3.46,1449395281.0117996,4950868625.700794
2023-07-01 09:00:00,3.47,3.64,3.37,3.54,1764147071.3938866,6164428384.858385
2023-07-02 09:00:00,3.52,3.56,3.42,3.45,1127638573.8141992,3928018845.8180113
2023-07-03 09:00:00,3.45,3.57,3.42,3.51,696601168.576443,2423564776.3689575
2023-07-04 09:00:00,3.51,4.55,3.47,3.74,27875638023.51622,112241241186.91783
2023-07-05 09:00:00,3.74,4.7,3.71,3.94,37885023133.71024,158569058311.4248
2023-07-06 09:00:00,3.95,4.2,3.65,3.71,7600605513.220777,29165485418.214138
2023-07-07 09:00:00,3.7,3.71,3.57,3.67,1321309650.518357,4802288228.409216
2023-07-08 09:00:00,3.67,3.85,3.64,3.71,4067655939.0902443,15202830025.157663
2023-07-09 09:00:00,3.71,3.78,3.63,3.73,1698947299.9059465,6304859678.588062
2023-07-10 09:00:00,3.73,3.76,3.6,3.71,1609778986.42847,5898987645.38831
2023-07-11 09:00:00,3.7,3.98,3.69,3.8,4567891196.149379,17397532554.2463
2023-07-12 09:00:00,3.8,3.8,3.68,3.71,1016767609.8392456,3793547215.2625914
2023-07-13 09:00:00,3.72,3.82,3.58,3.64,1954439612.7125819,7215099505.407181
2023-07-14 09:00:00,3.64,3.75,3.61,3.69,1188863077.965204,4363707495.251112
2023-07-15 09:00:00,3.69,3.77,3.64,3.76,793732125.3389452,2945224140.643454
2023-07-16 09:00:00,3.76,3.89,3.72,3.74,1611804679.610534,6103706703.83372
2023-07-17 09:00:00,3.73,3.81,3.67,3.72,662216957.807276,2470366965.684353
2023-07-18 09:00:00,3.72,3.75,3.62,3.68,647968502.6095998,2389581544.845313
2023-07-19 09:00:00,3.68,3.7,3.65,3.68,284342583.54017967,1045536527.1882465
2023-07-20 09:00:00,3.68,3.72,3.66,3.68,340231046.7532086,1254539651.2101705
2023-07-21 09:00:00,3.68,3.79,3.65,3.78,573743712.1356599,2133728007.3572185
2023-07-22 09:00:00,3.78,3.93,3.72,3.91,889985662.738444,3388118449.5985174
2023-07-23 09:00:00,3.91,4.24,3.81,3.9,4228720048.176085,17084383957.732943
